"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","UTEP",65.4557,326,64.8088,310,98.7692,326,101.831,308,109.274,217,112.16,240,-10.3286,283
"2026","UTSA",69.8283,130,68.4282,126,93.321,357,97.8896,346,117.44,336,116.873,316,-18.9836,345
"2026","Valparaiso",66.6434,285,65.094,296,103.84,256,107.239,212,104.57,100,105.98,100,1.25854,151
"2026","Vanderbilt",72.4343,31,70.1035,49,122.006,13,124.755,15,100.335,39,97.0769,17,27.6779,14
"2026","VCU",69.9951,126,68.6544,113,119.371,29,120.5,47,104.341,96,104.918,82,15.5819,49
"2026","Vermont",64.5285,344,64.704,316,110.796,121,109.184,181,108.204,181,113.788,267,-4.60373,223
"2026","Villanova",65.4439,327,63.1508,351,118.099,41,121.912,33,104.262,94,100.373,40,21.5393,29
"2026","Virginia",66.4333,294,65.4332,276,122.481,9,124.114,17,99.5058,34,98.445,21,25.6694,16
"2026","Virginia Tech",68.7051,195,67.5631,168,112.684,94,115.663,77,104.738,104,102.612,59,13.0509,61
"2026","VMI",67.6294,236,66.4169,227,100.373,309,100.356,324,122.161,359,123.347,360,-22.9914,359
"2026","Wagner",65.0477,334,64.8141,309,105.708,223,103.756,274,113.259,285,119.142,340,-15.3859,330
"2026","Wake Forest",71.4321,59,68.9557,99,110.955,118,114.729,88,107.824,172,104.543,78,10.186,79
"2026","Washington",68.738,193,66.9312,202,112.74,92,118.12,63,105.308,114,100.625,42,17.495,46
"2026","Washington St.",68.9603,181,67.1952,189,111.333,114,115.301,81,111.119,251,111.817,234,3.48305,128
"2026","Weber St.",71.299,64,69.4862,74,110.695,124,110.455,150,111.271,253,114.686,281,-4.2312,217
"2026","West Georgia",69.9958,125,68.4616,123,103.998,252,102.472,294,115.879,319,117.552,324,-15.08,328
"2026","West Virginia",64.0408,353,62.2132,361,109.319,158,111.843,128,98.3927,24,99.89,35,11.9531,68
"2026","Western Carolina",69.9185,127,68.4034,127,106.908,198,108.656,185,117.725,341,117.618,325,-8.96122,266
"2026","Western Illinois",67.2423,250,66.0084,248,93.1264,360,94.3347,359,115.061,311,118.425,334,-24.0902,361
"2026","Western Kentucky",70.9333,81,69.1716,86,105.588,224,106.641,227,106.334,131,106.905,116,-0.263263,166
"2026","Western Michigan",69.3681,151,67.4226,176,106.658,206,108.651,186,116.682,331,118.201,331,-9.54956,276
"2026","Wichita St.",66.6151,286,65.4209,277,113.226,88,114.124,100,103.831,87,106.365,109,7.7586,94
"2026","William & Mary",74.6244,9,73.1967,6,109.398,154,110.871,139,105.436,117,108.702,146,2.16861,142
"2026","Winthrop",70.5354,95,68.3384,129,115.073,72,114.98,86,108.716,201,110.663,196,4.31708,120
"2026","Wisconsin",70.5589,94,69.6144,70,117.388,49,121.581,37,105.89,120,102.876,64,18.7043,39
"2026","Wofford",68.6661,198,67.5331,169,113.514,86,110.895,138,113.494,287,114.64,278,-3.74533,207
"2026","Wright St.",68.6542,199,66.3229,233,115.187,70,113.131,112,108.859,205,110.179,178,2.95181,133
"2026","Wyoming",68.3574,211,66.2574,236,111.827,107,113.288,109,106.393,136,106.909,117,6.37837,106
"2026","Xavier",71.7283,46,70.3461,40,106.871,200,113.972,103,108.344,190,106.673,114,7.29899,100
"2026","Yale",66.534,288,65.1123,295,123.161,6,122.29,28,109.552,225,111.087,214,11.2034,75
"2026","Youngstown St.",69.0229,176,66.8468,206,109.299,160,106.339,232,108.85,203,110.96,210,-4.6206,224
